
running 506 tests
test admission_operation_store::tests::execution_nonce::lifecycle::durable_nonce_lifecycle_preparation_rolls_back_each_sql_cutpoint ... ok
test admission_operation_store::tests::execution_nonce::lifecycle::recovery::delayed_capture_cannot_revive_a_nonce_or_capture_budget_after_authority_expiry ... ok
test admission_operation_store::tests::execution_nonce::lifecycle::recovery::durable_nonce_lifecycle_capture_and_cancellation_have_one_atomic_winner ... ok
test admission_operation_store::tests::execution_nonce::lifecycle::recovery::durable_nonce_lifecycle_expired_capture_rolls_back_budget_and_can_still_cancel ... ok
test admission_operation_store::tests::execution_nonce::lifecycle::recovery::durable_nonce_lifecycle_history_rejects_missing_corrupt_and_oversized_phases ... ok
test admission_operation_store::tests::execution_nonce::lifecycle::recovery::durable_nonce_lifecycle_phase_rows_are_permanent_and_immutable ... ok
test admission_operation_store::tests::execution_nonce::lifecycle::recovery::durable_nonce_lifecycle_reopens_pending_committed_and_cancelled_with_current_fences ... ok
test admission_operation_store::tests::execution_nonce::lifecycle::recovery::durable_nonce_lifecycle_signed_terminal_paths_preserve_disposition ... ok
test admission_operation_store::tests::execution_nonce::lifecycle::recovery::durable_nonce_lifecycle_v12_migration_keeps_ready_history_without_inventing_commit ... ok
test admission_operation_store::tests::execution_nonce::native_preflight::native_issuance_requires_preflight_taint_before_budget_preflight ... ok
test admission_operation_store::tests::execution_nonce::preflight::approval::durable_nonce_preflight_restores_composite_budgets_but_cleanup_does_not_grant_approval ... ok
test admission_operation_store::tests::execution_nonce::preflight::durable_nonce_preflight_cannot_capture_invocations_or_money ... ok
test admission_operation_store::tests::execution_nonce::preflight::durable_nonce_preflight_owns_and_reverses_a_distinct_physical_hold ... ok
test admission_operation_store::tests::execution_nonce::preflight::qualification::durable_nonce_preflight_ack_loss_requires_current_fences_and_never_reopens_cleanup ... ok
test admission_operation_store::tests::execution_nonce::preflight::qualification::durable_nonce_preflight_concurrent_exact_candidates_have_one_physical_reservation ... ok
test admission_operation_store::tests::execution_nonce::preflight::qualification::durable_nonce_preflight_denial_records_no_physical_ownership ... ok
test admission_operation_store::tests::execution_nonce::preflight::qualification::durable_nonce_preflight_ownership_is_permanent_and_corruption_fails_reads_and_restart ... ok
test admission_operation_store::tests::execution_nonce::preflight::qualification::durable_nonce_preflight_rejects_changed_parent_request_and_grant_bindings ... ok
test admission_operation_store::tests::execution_nonce::preflight::qualification::durable_nonce_preflight_rejects_generic_identity_and_attachment_forgery ... ok
test admission_operation_store::tests::execution_nonce::preflight::qualification::durable_nonce_preflight_replay_callback_cannot_backfill_physical_ownership ... ok
test admission_operation_store::tests::execution_nonce::preflight::qualification::durable_nonce_preflight_requires_original_provenance_and_cannot_start_after_issuance ... ok
test admission_operation_store::tests::execution_nonce::preflight::qualification::durable_nonce_preflight_rolls_back_physical_and_operation_sql_cutpoints ... ok
test admission_operation_store::tests::execution_nonce::preflight::recovery::durable_nonce_preflight_v15_issuance_is_history_not_fresh_authority ... ok
test admission_operation_store::tests::execution_nonce::preflight::recovery::durable_nonce_preflight_v15_pending_capture_rolls_back_and_can_cancel ... ok
test admission_operation_store::tests::execution_nonce::preflight::recovery::durable_nonce_preflight_v15_ready_cannot_reserve_or_prepare_capture ... ok
test admission_operation_store::tests::factor_assignment::assignment_commit_is_atomic_and_exact_replay_is_idempotent ... ok
test admission_operation_store::tests::factor_assignment::authority_generation_fences_stale_clone_across_aba_rotation ... ok
test admission_operation_store::tests::factor_assignment::clock::stale_decision_time_cannot_apply_expired_assignment_authority ... ok
test admission_operation_store::tests::factor_assignment::expiry_reasons_are_distinct_and_durable ... ok
test admission_operation_store::tests::factor_assignment::registry_rejects_conflicting_keys_for_one_authority_epoch ... ok
test admission_operation_store::tests::factor_assignment::registry_rejects_two_active_configurations_with_shared_coordinates ... ok
test admission_operation_store::tests::factor_assignment::retained_configuration_replays_after_claim_trust_rotation_with_shared_coordinates ... ok
test admission_operation_store::tests::factor_assignment::serving_owner_rotation_fences_stale_recovery_then_accepts_a_new_claim ... ok
test admission_operation_store::tests::factor_assignment::stale_status_produces_durable_not_applied_without_advancing_the_head ... ok
test admission_operation_store::tests::factor_assignment::stored_claim_evidence_and_authority_configuration_tampering_is_rejected ... ok
test admission_operation_store::tests::factor_assignment::stored_result_tampering_is_rejected_on_load_and_retry ... ok
test admission_operation_store::tests::factor_assignment::terminal_projection_failure_rolls_back_assignment_and_result ... ok
test admission_operation_store::tests::fresh_operation_epoch_must_match_the_active_serving_owner ... ok
test admission_operation_store::tests::governed_approval_replay::bounds::destination_database_cannot_be_its_own_replay_source ... ok
test admission_operation_store::tests::governed_approval_replay::bounds::pending_pins_reserve_complete_marker_budget_before_any_source_is_sealed ... ok
test admission_operation_store::tests::governed_approval_replay::claims::approval_claim_retry_release_and_successor_preserve_exact_ownership ... ok
test admission_operation_store::tests::governed_approval_replay::claims::budget::real_budget_authorization_checks_new_authority_but_acknowledges_expired_history ... ok
test admission_operation_store::tests::governed_approval_replay::claims::budget::real_capture_checks_new_authority_but_acknowledges_expired_dispatch_history ... ok
test admission_operation_store::tests::governed_approval_replay::claims::expired_predispatch_claim_can_be_read_and_released_but_not_used ... ok
test admission_operation_store::tests::governed_approval_replay::claims::faults::altered_or_missing_approval_history_denies_readback ... ok
test admission_operation_store::tests::governed_approval_replay::claims::faults::claim_insert_failures_roll_back_all_ownership_and_commits ... ok
test admission_operation_store::tests::governed_approval_replay::claims::faults::failed_release_retains_ownership_and_retry_preserves_the_exact_episode ... ok
test admission_operation_store::tests::governed_approval_replay::claims::faults::generic_cas_and_superseded_lease_cannot_fabricate_or_release_ownership ... ok
test admission_operation_store::tests::governed_approval_replay::claims::inactive_wrong_generation_or_original_provenance_cannot_claim ... ok
test admission_operation_store::tests::governed_approval_replay::claims::kernel_recovery::kernel_restart_releases_expired_approval_custody_from_original_history ... ok
test admission_operation_store::tests::governed_approval_replay::claims::kernel_routes::authenticated_caller::authenticated_caller_start_retains_approval_without_legacy_replay_or_reacquisition ... ok
test admission_operation_store::tests::governed_approval_replay::claims::kernel_routes::boundaries::dropped_evaluation_releases_only_before_the_durable_effect_boundary ... ok
test admission_operation_store::tests::governed_approval_replay::claims::kernel_routes::boundaries::source_failure_after_readiness_denies_and_releases_without_source_reverification ... ok
test admission_operation_store::tests::governed_approval_replay::claims::kernel_routes::budget_denial_compensates_approval_without_legacy_rollback ... ok
test admission_operation_store::tests::governed_approval_replay::claims::kernel_routes::grant_fallback_releases_only_the_preceding_approval_episode ... ok
test admission_operation_store::tests::governed_approval_replay::claims::kernel_routes::imported_inactive_approval_source_cannot_configure_kernel_acquisition ... ok
test admission_operation_store::tests::governed_approval_replay::claims::kernel_routes::invalid_signed_approval_does_not_acquire_claim_or_budget ... ok
test admission_operation_store::tests::governed_approval_replay::claims::kernel_routes::nonce_preflight_releases_approval_then_execution_claims_a_new_episode ... ok
