==> Canonical JSON Lean fixture drift
==> Lean 4 proof build
✔ [274/554] Built Aeneas.Extract.Extract (19s)
✔ [275/554] Built Qq.Commands (5.5s)
✔ [276/554] Built Batteries.Data.List.Pairwise (2.3s)
✔ [277/554] Built Aesop.Script.Check (3.7s)
✔ [278/554] Built Aesop.Script.ScriptM (2.9s)
✔ [279/554] Built Mathlib.Logic.Basic (6.7s)
✔ [280/554] Built Mathlib.Data.List.Defs (5.4s)
✔ [281/554] Built Mathlib.Tactic.Lift (6.7s)
✔ [283/555] Built Aesop.Script.UScriptToSScript (5.1s)
✔ [284/555] Built Mathlib.Data.Nat.Init (9.4s)
✔ [285/555] Built Aesop.Stats.Report (2.9s)
✔ [286/558] Built Aeneas.Extract (2.7s)
✔ [288/558] Built Batteries.Classes.SatisfiesM (3.2s)
✔ [289/559] Built Aesop.RulePattern (7.1s)
✔ [290/559] Built Aesop.RuleTac.GoalDiff (5.9s)
✔ [291/559] Built Aeneas.Std.Core.Result (2.8s)
✔ [293/559] Built Aesop.Script.StructureStatic (4.6s)
✔ [294/559] Built Batteries.Data.List.Monadic (1.0s)
✔ [295/562] Built Mathlib.Tactic.Subsingleton (5.9s)
✔ [297/564] Built Aeneas.Std.Primitives (7.4s)
✔ [298/564] Built Aesop.Script.SpecificTactics (10s)
✔ [300/564] Built Mathlib.Tactic.ApplyCongr (2.7s)
✔ [301/564] Built Aesop.Script.StructureDynamic (7.0s)
✔ [303/565] Built Mathlib.Lean.Meta.Basic (2.8s)
✔ [304/565] Built Mathlib.Tactic.CongrExclamation (10s)
✔ [305/565] Built Aesop.Forward.RuleInfo (4.5s)
✔ [306/566] Built Mathlib.Tactic.Check (1.8s)
✔ [307/566] Built Qq.Match (23s)
✔ [308/566] Built Mathlib.Tactic.ClearExclamation (1.6s)
✔ [309/566] Built Mathlib.Tactic.ApplyWith (2.7s)
✔ [310/568] Built Mathlib.Tactic.Push (11s)
✔ [311/569] Built Aeneas.Std.Alloc (3.2s)
✔ [312/569] Built Aesop.Script.Main (2.4s)
✔ [313/569] Built Mathlib.Tactic.Simps.Basic (20s)
✔ [314/569] Built Mathlib.Tactic.ApplyAt (2.3s)
✔ [315/570] Built Mathlib.Tactic.ClearExcept (1.8s)
✔ [316/571] Built Batteries.Data.List.Lemmas (33s)
✔ [317/572] Built Aesop.Rule.Forward (2.3s)
✔ [318/572] Built Mathlib.Tactic.Clear_ (1.9s)
✔ [319/572] Built Qq (2.7s)
✔ [320/572] Built Mathlib.Tactic.ByCases (2.6s)
✔ [321/573] Built Mathlib.Tactic.Convert (3.7s)
✔ [322/574] Built Mathlib.Tactic.ByContra (2.8s)
✔ [323/574] Built Mathlib.Tactic.Constructor (2.2s)
✔ [324/574] Built Mathlib.Util.Notation3 (28s)
✔ [325/574] Built Mathlib.Tactic.Contrapose (3.8s)
✔ [326/575] Built Aeneas.Std.WP (9.0s)
✔ [327/575] Built Aesop.Forward.Match.Types (3.2s)
